year,lg3,mg4,mg5,mg6,mg7,mg8,mg9,hg10,sa,fa
2021.00,38246.10,38246.10,38246.10,38246.10,38246.10,38246.10,38246.10,38246.10,38246.10,38246.10
2022.00,38763.30,38882.00,38882.10,38882.10,38882.10,38882.00,38882.00,38957.40,38935.40,38785.30
2023.00,39147.00,39426.00,39426.20,39426.20,39426.30,39426.10,39426.00,39633.90,39582.20,39198.60
2024.00,39512.20,39953.10,39953.60,39953.60,39953.70,39953.20,39953.10,40318.50,40233.10,39597.20
2025.00,39861.10,40464.70,40465.60,40465.50,40465.70,40464.90,40464.70,40992.80,40876.00,39977.30
2026.00,40163.90,40964.60,40965.90,40965.70,40966.00,40964.80,40964.40,41653.60,41505.60,40310.70
2027.00,40431.00,41452.70,41454.40,41454.20,41454.60,41452.90,41452.30,42299.20,42118.40,40609.70
2028.00,40676.10,41928.30,41930.60,41930.30,41930.80,41928.50,41927.70,42929.50,42714.70,40887.70
2029.00,40902.40,42391.30,42394.00,42393.70,42394.40,42391.40,42390.40,43545.40,43295.80,41147.50
2030.00,41111.90,42840.80,42844.00,42843.60,42844.50,42840.80,42839.50,44150.00,43864.50,41391.20
2031.00,41306.30,43276.30,43280.00,43279.50,43280.60,43276.10,43274.50,44748.10,44425.70,41620.50
2032.00,41487.20,43697.30,43701.60,43701.00,43702.40,43696.90,43695.00,45346.00,44985.80,41836.80
2033.00,41655.10,44108.70,44113.50,44112.80,44114.40,44108.00,44105.60,45951.20,45552.00,42041.00
2034.00,41811.70,44509.90,44515.20,44514.40,44516.20,44508.80,44506.10,46563.70,46124.90,42233.90
2035.00,41958.10,44901.10,44906.80,44906.00,44908.00,44899.50,44896.30,47184.20,46705.20,42416.80
2036.00,42095.80,45282.30,45288.70,45287.70,45290.00,45280.20,45276.60,47813.70,47293.70,42591.30
2037.00,42226.30,45654.20,45661.20,45660.10,45662.50,45651.50,45647.40,48452.90,47891.50,42758.60
2038.00,42350.40,46017.80,46025.30,46024.10,46026.80,46014.30,46009.80,49102.20,48499.00,42919.30
2039.00,42469.20,46374.00,46382.20,46380.90,46383.70,46369.70,46364.70,49762.20,49116.90,43074.60
2040.00,42584.00,46724.20,46733.00,46731.60,46734.60,46719.00,46713.50,50433.70,49745.90,43225.50
2041.00,42696.40,47070.00,47079.50,47078.00,47081.10,47063.80,47057.80,51116.90,50387.30,43372.70
2042.00,42807.10,47413.60,47423.80,47422.20,47425.30,47406.20,47399.60,51812.30,51041.70,43517.00
2043.00,42916.70,47757.00,47767.90,47766.20,47769.40,47748.40,47741.30,52521.00,51709.30,43659.50
2044.00,43025.70,48097.40,48109.10,48107.20,48110.50,48087.60,48079.80,53235.80,52383.80,43800.20
2045.00,43129.80,48435.00,48447.50,48445.50,48448.80,48423.80,48415.40,53956.60,53064.70,43934.80
2046.00,43229.50,48770.20,48783.40,48781.30,48784.70,48757.50,48748.50,54683.60,53752.70,44063.70
2047.00,43325.20,49103.10,49117.10,49114.90,49118.30,49088.80,49079.20,55417.40,54448.60,44186.90
2048.00,43416.60,49433.90,49448.70,49446.30,49449.70,49417.90,49407.60,56158.50,55152.30,44304.60
2049.00,43503.70,49763.00,49778.50,49776.00,49779.50,49745.20,49734.20,56907.60,55864.50,44416.90
2050.00,43587.00,50090.80,50107.10,50104.40,50108.00,50071.10,50059.50,57665.60,56586.10,44524.30
2051.00,43667.10,50418.10,50435.20,50432.40,50435.90,50396.40,50384.10,58433.30,57318.30,44626.90
2052.00,43744.60,50745.50,50763.40,50760.40,50764.00,50721.70,50708.70,59211.90,58062.60,44725.00
2053.00,43819.80,51073.70,51092.50,51089.30,51093.00,51047.70,51034.00,60003.10,58819.90,44819.90
2054.00,43892.70,51403.70,51423.30,51420.00,51423.70,51375.40,51360.90,60807.90,59591.00,44911.70
2055.00,43964.20,51736.30,51756.70,51753.20,51756.90,51705.40,51690.20,61627.30,60377.20,45000.70
2056.00,44034.50,52072.20,52093.50,52089.80,52093.60,52038.70,52022.80,62463.40,61179.30,45088.70
2057.00,44104.30,52412.30,52434.50,52430.70,52434.50,52376.10,52359.40,63317.30,61998.30,45176.20
2058.00,44173.80,52757.20,52780.40,52776.40,52780.30,52718.20,52700.70,64189.50,62834.80,45263.50
2059.00,44243.40,53107.50,53131.70,53127.50,53131.40,53065.50,53047.10,65080.60,63689.30,45350.80
2060.00,44314.20,53463.40,53488.60,53484.30,53488.30,53418.30,53399.10,65991.80,64563.30,45439.30
2061.00,44386.50,53825.50,53851.70,53847.20,53851.30,53777.10,53756.90,66923.60,65457.00,45529.20
2062.00,44459.70,54193.70,54221.10,54216.40,54220.60,54142.00,54120.90,67876.00,66370.00,45620.40
2063.00,44533.90,54568.20,54596.70,54591.80,54596.10,54513.00,54490.80,68848.80,67302.20,45712.90
2064.00,44609.10,54948.60,54978.20,54973.20,54977.60,54889.80,54866.50,69842.10,68254.00,45806.50
2065.00,44684.90,55334.80,55365.60,55360.40,55364.90,55272.20,55247.70,70855.70,69224.70,45900.90
2066.00,44760.70,55726.40,55758.40,55753.10,55757.60,55659.80,55634.10,71889.70,70214.00,45996.30
2067.00,44837.30,56122.90,56156.00,56150.60,56155.20,56052.10,56025.20,72943.90,71222.70,46092.20
2068.00,44914.30,56523.60,56558.00,56552.40,56557.10,56448.50,56420.30,74018.00,72250.50,46188.30
