year,CPI_2002
1948,11.8
1949,12.2
1950,12.5
1951,13.8
1952,14.2
1953,14
1954,14.1
1955,14.1
1956,14.3
1957,14.8
1958,15.2
1959,15.3
1960,15.5
1961,15.7
1962,15.9
1963,16.1
1964,16.4
1965,16.8
1966,17.5
1967,18.1
1968,18.8
1969,19.7
1970,20.3
1971,20.9
1972,21.9
1973,23.6
1974,26.2
1975,29
1976,31.1
1977,33.6
1978,36.6
1979,40
1980,44
1981,49.5
1982,54.9
1983,58.1
1984,60.6
1985,63
1986,65.6
1987,68.5
1988,71.2
1989,74.8
1990,78.4
1991,82.8
1992,84
1993,85.6
1994,85.7
1995,87.6
1996,88.9
1997,90.4
1998,91.3
1999,92.9
2000,95.4
2001,97.8
2002,100
2003,102.8
2004,104.7
2005,107
2006,109.1
2007,111.5
2008,114.1
2009,114.4
2010,116.5
2011,119.9
2012,121.7
2013,122.8
2014,125.2
2015,126.6
2016,128.4
2017,130.4
2018,133.4
2019,136
2020,137
2021,141.6
2022,151.2
2023,157.1
