,detached_gju,attached_gju,apartment_gju,,,,
2020,20.56991681,2.531875278,1.114637006,,,,
2021,22.07389092,2.692313536,1.220474655,,,,
2022,21.72576587,2.649512363,1.214561298,,21.72576587,2.649512363,1.214561298
2023,20.31891816,2.457370658,1.125057963,1,21.39893497,2.604216241,1.192328954
2024,18.75923431,2.233752121,0.968979135,2,21.07210407,2.558920119,1.17009661
2025,17.88404235,2.132497013,0.917044715,3,20.74527317,2.513623998,1.147864266
2026,16.77326931,1.974766404,0.849954167,4,20.41844227,2.468327876,1.125631922
2027,15.68692862,1.820773494,0.783909988,5,20.09161136,2.423031754,1.103399578
2028,14.62502028,1.670518282,0.718912178,6,19.76478046,2.377735632,1.081167234
2029,13.58754428,1.524000768,0.654960736,7,19.43794956,2.33243951,1.05893489
2030,12.57450064,1.381220952,0.592055664,8,19.11111866,2.287143388,1.036702545
2031,11.64261655,1.279807736,0.554709456,9,18.78428776,2.241847267,1.014470201
2032,10.73343088,1.18093421,0.517954998,10,18.45745686,2.196551145,0.992237857
2033,9.846943629,1.084600373,0.48179229,11,18.13062596,2.151255023,0.970005513
2034,8.98315479,0.990806225,0.446221331,12,17.80379506,2.105958901,0.947773169
2035,8.142064367,0.899551766,0.411242122,13,17.47696416,2.060662779,0.925540825
2036,7.073480487,0.789277154,0.365733105,14,17.15013326,2.015366658,0.903308481
2037,6.035875152,0.682288001,0.321032132,15,16.82330235,1.970070536,0.881076137
2038,5.029248362,0.578584306,0.277139203,16,16.49647145,1.924774414,0.858843793
2039,4.053600116,0.478166069,0.234054317,17,16.16964055,1.879478292,0.836611449
2040,3.108930414,0.381033291,0.191777476,18,15.84280965,1.83418217,0.814379105
2041,2.506781422,0.309827825,0.159209839,19,15.51597875,1.788886048,0.792146761
2042,1.924370433,0.241050482,0.127268288,20,15.18914785,1.743589927,0.769914417
2043,1.361697447,0.174701261,0.095952822,21,14.86231695,1.698293805,0.747682073
2044,0.818762462,0.110780161,0.065263442,22,14.53548605,1.652997683,0.725449728
2045,0.29556548,0.049287184,0.035200147,23,14.20865515,1.607701561,0.703217384
2046,0.269864932,0.044295619,0.035121464,24,13.88182424,1.562405439,0.68098504
2047,0.244955701,0.039470597,0.035036394,25,13.55499334,1.517109317,0.658752696
2048,0.220837787,0.034812119,0.034944939,26,13.22816244,1.471813196,0.636520352
2049,0.197511191,0.030320184,0.034847097,27,12.90133154,1.426517074,0.614288008
2050,0.174975912,0.025994793,0.03474287,,12.57450064,1.381220952,0.592055664
