"year","All"
1948,90194
1949,90509
1950,92531
1951,68579
1952,83246
1953,102409
1954,113527
1955,138276
1956,127311
1957,122340
1958,164632
1959,141345
1960,108858
1961,125577
1962,130095
1963,148624
1964,165658
1965,166565
1966,134474
1967,164123
1968,196878
1969,210415
1970,190528
1971,233653
1972,249914
1973,268529
1974,222123
1975,231456
1976,273203
1977,245724
1978,227667
1979,197049
1980,158601
1981,177973
1982,125860
1983,162645
1984,134900
1985,165826
1986,199785
1987,245986
1988,222562
1989,215382
1990,181630
1991,156197
1992,168271
1993,155443
1994,154057
1995,110933
1996,124713
1997,147040
1998,137439
1999,149968
2000,151653
2001,162733
2002,205034
2003,218426
2004,233431
2005,225481
2006,227395
2007,228343
2008,211056
2009,149081
2010,189930
2011,193950
2012,214827
2013,187923
2014,189329
2015,195535
2016,197915
2017,219763
2018,212843
2019,208685
2020,217880
2021,271198
2022,261849
2023,240267
